127.0.0.1 - - [30/Jun/2026 15:19:53] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /studio?token=token-frontline-smoke HTTP/1.1" 302 0
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 220701
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 12295
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 15:19:54] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /studio/studies/new HTTP/1.1" 200 654
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 220701
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 12295
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [30/Jun/2026 15:19:55] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:56] "POST /api/v1/projects HTTP/1.1" 201 636
127.0.0.1 - - [30/Jun/2026 15:19:56] "POST /api/v1/studies HTTP/1.1" 201 33459
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/studies HTTP/1.1" 200 33463
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:56] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/studies HTTP/1.1" 200 33463
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/studies HTTP/1.1" 200 33463
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:57] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:58] "POST /api/v1/studies/study_7f031d13ac8e/frontline-plan-proposals HTTP/1.1" 201 165980
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/studies HTTP/1.1" 200 136648
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/studies HTTP/1.1" 200 136648
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:58] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:59] "POST /api/v1/studies/study_7f031d13ac8e/frontline-plan-revisions HTTP/1.1" 201 184582
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/studies HTTP/1.1" 200 169193
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 28768
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/study-reports?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/evidence-views?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/decision-logs?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/export-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 22
127.0.0.1 - - [30/Jun/2026 15:19:59] "GET /api/v1/share-bundles?study_id=study_7f031d13ac8e HTTP/1.1" 200 21
127.0.0.1 - - [30/Jun/2026 15:20:00] "POST /api/v1/studies/study_7f031d13ac8e/frontline-runs HTTP/1.1" 202 186570
127.0.0.1 - - [30/Jun/2026 15:20:00] "GET /api/v1/session HTTP/1.1" 200 7162
127.0.0.1 - - [30/Jun/2026 15:20:00] "GET /api/v1/projects HTTP/1.1" 200 655
127.0.0.1 - - [30/Jun/2026 15:20:00] "GET /api/v1/studies HTTP/1.1" 200 169275
127.0.0.1 - - [30/Jun/2026 15:20:00] "GET /api/v1/validation-jobs HTTP/1.1" 200 17026
