127.0.0.1 - - [01/Jul/2026 22:51:06] "GET /api/v1/health HTTP/1.1" 200 439
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /studio?token=token-i18n-debug HTTP/1.1" 302 0
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /studio HTTP/1.1" 200 642
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.js HTTP/1.1" 200 252205
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /app-static/frontend/frontline_research_studio/dist/assets/frontline-research-studio.css HTTP/1.1" 200 14977
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/session HTTP/1.1" 200 6941
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /favicon.ico HTTP/1.1" 404 46
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/session HTTP/1.1" 200 6941
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/projects HTTP/1.1" 200 16
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/studies HTTP/1.1" 200 15
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 22:51:07] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [01/Jul/2026 22:51:07] "POST /api/v1/projects HTTP/1.1" 201 626
127.0.0.1 - - [01/Jul/2026 22:51:08] "POST /api/v1/studies HTTP/1.1" 201 7913
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/session HTTP/1.1" 200 6941
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/projects HTTP/1.1" 200 645
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/studies HTTP/1.1" 200 7917
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 9099
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/study-reports?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/evidence-views?study_id=study_f3d851d9ceee HTTP/1.1" 200 22
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/decision-logs?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/export-bundles?study_id=study_f3d851d9ceee HTTP/1.1" 200 22
127.0.0.1 - - [01/Jul/2026 22:51:08] "GET /api/v1/share-bundles?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:09] "POST /api/v1/persona-library/generation-jobs HTTP/1.1" 201 2492
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/session HTTP/1.1" 200 6941
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/projects HTTP/1.1" 200 645
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/studies HTTP/1.1" 200 7917
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 43458
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/study-reports?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/evidence-views?study_id=study_f3d851d9ceee HTTP/1.1" 200 22
127.0.0.1 - - [01/Jul/2026 22:51:09] "GET /api/v1/decision-logs?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/export-bundles?study_id=study_f3d851d9ceee HTTP/1.1" 200 22
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/share-bundles?study_id=study_f3d851d9ceee HTTP/1.1" 200 21
127.0.0.1 - - [01/Jul/2026 22:51:10] "POST /api/v1/studies/study_f3d851d9ceee/frontline-plan-proposals HTTP/1.1" 201 115517
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/session HTTP/1.1" 200 6941
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/projects HTTP/1.1" 200 645
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/studies HTTP/1.1" 200 93722
127.0.0.1 - - [01/Jul/2026 22:51:10] "GET /api/v1/validation-jobs HTTP/1.1" 200 12
127.0.0.1 - - [01/Jul/2026 22:51:11] "GET /api/v1/persona-library?panel_type=mainstream&sample_size=3&random_seed=17 HTTP/1.1" 200 43458
